xgb_p_healthy,xgb_p_bleached
0.021049444,0.97895056
0.050578553,0.9494214
0.05173653,0.94826347
0.25231338,0.7476866
0.22434756,0.7756524
0.05224994,0.94775
0.19232664,0.8076734
0.21674073,0.7832592
0.062939376,0.93706065
0.21794416,0.78205585
0.052460957,0.9475391
0.05919458,0.94080544
0.061176945,0.9388231
0.06477168,0.93522835
0.06703113,0.9329689
0.073502995,0.92649704
0.060182337,0.9398177
0.020422585,0.9795774
0.24840802,0.75159204
0.13065116,0.8693488
0.104193486,0.8958065
0.06372514,0.9362749
0.09930846,0.90069157
0.1649528,0.8350472
0.11404969,0.88595027
0.15579279,0.8442072
0.15474162,0.8452584
0.2932588,0.7067412
0.22448412,0.77551585
0.23139496,0.76860505
0.16949253,0.8305075
0.25818565,0.7418144
0.083304,0.916696
0.48688647,0.5131135
0.3425977,0.65740234
0.2439392,0.75606084
0.24866098,0.751339
0.33896425,0.6610357
0.087097585,0.91290236
0.09843563,0.90156436
0.00826751,0.9917325
0.09265625,0.90734375
0.11381168,0.8861883
0.10378769,0.89621234
0.038894475,0.9611056
0.06889564,0.93110436
0.06889564,0.93110436
0.18371108,0.81628895
0.05273777,0.9472622
0.066268265,0.9337318
0.066268265,0.9337318
0.055785682,0.9442143
0.19818355,0.8018164
0.19792365,0.80207634
0.19792365,0.80207634
0.06982391,0.9301761
0.04082,0.95918
0.08944936,0.91055065
0.045343995,0.95465595
0.1593424,0.8406576
0.068085276,0.93191475
0.53378665,0.46621338
0.44101506,0.55898494
0.30563408,0.6943659
0.15433042,0.84566957
0.19802614,0.80197394
0.15170011,0.84829986
0.23307116,0.76692885
0.003982757,0.9960172
0.015253232,0.98474675
0.059700068,0.9403
0.021186003,0.97881395
0.021186003,0.97881395
0.006567438,0.99343264
0.07526824,0.92473173
0.13400431,0.86599576
0.025576666,0.97442335
0.0186959,0.9813041
0.018643003,0.981357
0.28267705,0.71732295
0.071955346,0.9280447
0.049231727,0.9507683
0.014225774,0.98577416
0.0165562,0.9834438
0.018330626,0.98166937
0.022451824,0.9775482
0.09279863,0.9072014
0.046258524,0.9537415
0.013582111,0.9864179
0.017242406,0.98275757
0.008602316,0.9913977
0.057509076,0.9424909
0.03665324,0.9633467
0.08798402,0.91201603
0.037494693,0.9625053
0.098787665,0.90121233
0.023177011,0.976823
0.054218665,0.94578135
0.119579114,0.88042086
0.108352065,0.89164793
0.14824976,0.85175025
0.05160417,0.94839585
0.073944256,0.9260557
0.0117121935,0.98828775
0.029703254,0.9702967
0.058939897,0.94106007
0.031375278,0.9686247
0.00965164,0.99034846
0.06436948,0.93563056
0.18696101,0.81303895
0.03864466,0.9613553
0.012257833,0.9877422
0.018321067,0.98167896
0.23697583,0.76302415
0.45876294,0.5412371
0.21566832,0.7843316
0.020368407,0.9796316
0.13418259,0.8658174
0.045241788,0.9547582
0.027302496,0.97269756
0.063412085,0.9365878
0.13207725,0.8679227
0.19680578,0.8031942
0.104108594,0.8958914
0.011101842,0.9888982
0.007763965,0.992236
0.0015731809,0.99842685
0.012246841,0.98775315
0.0049099824,0.99509
0.0015468814,0.99845314
0.0015008217,0.99849916
0.005265166,0.99473476
0.0060655638,0.9939344
0.0029132853,0.99708676
0.0040302626,0.9959698
0.007358451,0.99264157
0.002586626,0.9974134
0.003836121,0.99616385
0.0031239248,0.996876
0.009652013,0.9903479
0.012817082,0.9871829
0.00765738,0.9923427
0.044291563,0.9557084
0.037538316,0.96246165
0.15375817,0.84624183
0.05169537,0.9483046
0.057483833,0.94251615
0.017809529,0.98219043
0.036396254,0.96360373
0.05141009,0.9485899
0.01990175,0.98009825
0.03929564,0.9607043
0.062271822,0.9377282
0.08150893,0.91849107
0.08717664,0.9128234
0.016551582,0.9834485
0.15093271,0.8490673
0.11123943,0.88876057
0.07437858,0.92562145
0.16369131,0.8363087
0.11581346,0.88418657
0.015325731,0.98467433
0.0038110975,0.996189
0.019826673,0.98017335
0.021385958,0.9786141
0.036997084,0.9630029
0.036873486,0.96312654
0.0292285,0.9707715
0.09499538,0.9050047
0.008850573,0.9911495
0.008850573,0.9911495
0.032445252,0.96755475
0.032445252,0.96755475
0.02334157,0.97665846
0.02334157,0.97665846
0.030090738,0.96990925
0.03889659,0.9611034
0.01367702,0.98632294
0.029155832,0.97084415
0.0050193216,0.9949807
