epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.48349,0.92599,0.625,1,0.69629,0.00038341,0.00038341,0.00038341
2,14.1628,0.61219,0.70109,1,0.59163,0.00076782,0.00076782,0.00076782
3,16.6649,0.55508,0.71739,1,0.54696,0.00113623,0.00113623,0.00113623
4,19.2216,0.5497,0.69565,1,0.63314,0.00148863,0.00148863,0.00148863
5,21.7651,0.52553,0.73913,1,0.59977,0.00153364,0.00153364,0.00153364
6,24.3421,0.56633,0.72283,1,0.51855,0.0015003,0.0015003,0.0015003
7,26.8474,0.48756,0.7663,1,0.51229,0.00146696,0.00146696,0.00146696
8,29.3494,0.48134,0.73913,1,0.58797,0.00143362,0.00143362,0.00143362
9,31.8909,0.53038,0.71196,1,0.75146,0.00140028,0.00140028,0.00140028
10,34.4347,0.49957,0.77174,1,0.48421,0.00136694,0.00136694,0.00136694
11,36.9437,0.48405,0.74457,1,0.51066,0.0013336,0.0013336,0.0013336
12,39.4868,0.44561,0.7337,1,0.56999,0.00130026,0.00130026,0.00130026
13,42.0341,0.43715,0.77717,1,0.55428,0.00126692,0.00126692,0.00126692
14,44.6007,0.43476,0.7663,1,0.52124,0.00123358,0.00123358,0.00123358
15,47.1402,0.4802,0.75543,1,0.58276,0.00120024,0.00120024,0.00120024
16,49.6104,0.46635,0.75543,1,0.48527,0.0011669,0.0011669,0.0011669
17,52.1333,0.43981,0.75543,1,0.49276,0.00113356,0.00113356,0.00113356
18,54.6908,0.46843,0.74457,1,0.49788,0.00110022,0.00110022,0.00110022
19,57.2346,0.4268,0.72826,1,0.54093,0.00106688,0.00106688,0.00106688
20,59.7193,0.43452,0.70652,1,0.5214,0.00103354,0.00103354,0.00103354
21,62.2296,0.42954,0.7337,1,0.49984,0.0010002,0.0010002,0.0010002
22,64.8301,0.37142,0.76087,1,0.56331,0.000966861,0.000966861,0.000966861
23,67.3416,0.39147,0.77717,1,0.52165,0.000933521,0.000933521,0.000933521
