epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.97552,0.95162,0.61957,1,0.69759,0.000319508,0.000319508,0.000319508
2,17.7174,0.63562,0.66848,1,0.61768,0.000652747,0.000652747,0.000652747
3,20.658,0.54855,0.70109,1,0.54036,0.000985335,0.000985335,0.000985335
4,23.3462,0.54708,0.74457,1,0.53402,0.00131678,0.00131678,0.00131678
5,26.1387,0.53461,0.7337,1,0.55664,0.00164659,0.00164659,0.00164659
6,28.6993,0.58109,0.68478,1,0.64697,0.00165674,0.00165674,0.00165674
7,31.3395,0.51522,0.72283,1,0.52653,0.00165224,0.00165224,0.00165224
8,34.0001,0.49732,0.74457,1,0.58447,0.00164693,0.00164693,0.00164693
9,36.6146,0.57296,0.72826,1,0.6696,0.00164081,0.00164081,0.00164081
10,39.186,0.53408,0.7337,1,0.5035,0.00163391,0.00163391,0.00163391
11,41.7833,0.52017,0.7337,1,0.67448,0.00162621,0.00162621,0.00162621
12,44.4334,0.48628,0.75543,1,0.4991,0.00161772,0.00161772,0.00161772
13,47.074,0.46412,0.77717,1,0.55444,0.00160847,0.00160847,0.00160847
14,49.6103,0.45386,0.75543,1,0.5293,0.00159845,0.00159845,0.00159845
15,52.2158,0.49094,0.72826,1,0.70101,0.00158767,0.00158767,0.00158767
16,54.7991,0.45863,0.75543,1,0.52686,0.00157615,0.00157615,0.00157615
17,57.4206,0.44905,0.71196,1,0.70312,0.0015639,0.0015639,0.0015639
18,60.009,0.51437,0.75543,1,0.55241,0.00155093,0.00155093,0.00155093
19,62.5527,0.47826,0.77174,1,0.67562,0.00153725,0.00153725,0.00153725
20,65.1673,0.47067,0.7663,1,0.53752,0.00152287,0.00152287,0.00152287
21,67.8379,0.44462,0.7337,1,0.73405,0.00150782,0.00150782,0.00150782
22,70.4729,0.40973,0.7663,1,0.55062,0.0014921,0.0014921,0.0014921
23,73.0828,0.38864,0.75,1,0.63558,0.00147572,0.00147572,0.00147572
24,75.6881,0.39383,0.7337,1,0.71273,0.00145872,0.00145872,0.00145872
25,78.2965,0.40456,0.75,1,0.51017,0.0014411,0.0014411,0.0014411
26,80.9009,0.41119,0.78261,1,0.50724,0.00142288,0.00142288,0.00142288
27,83.4593,0.4544,0.77717,1,0.55176,0.00140407,0.00140407,0.00140407
28,86.0645,0.45689,0.7663,1,0.52132,0.00138471,0.00138471,0.00138471
